      ,Title                                                                               ,Director                           ,Year ,Series                                                                                                                                  ,Date       ,Notes
 3680 ,One False Move                                                                      ,"Franklin, C."                     ,1993 ,Neo-Noir                                                                                                                                ,2000-11-02 ,No notes
 3681 ,Quick Change                                                                        ,"Franklin, H."                     ,1990 ,Weekend - Autumn 1990 (Teenage Mutant Ninja Weekends)                                                                                   ,1990-12-07 ,No notes
 3682 ,Patrick                                                                             ,"Franklin, R."                     ,1978 ,Australian Cinema                                                                                                                       ,1992-01-23 ,No notes
 3683 ,"Good Earth, The"                                                                   ,"Franklin, S."                     ,1937 ,Film Class                                                                                                                              ,1946-03-15 ,No notes
 3684 ,Private Lives                                                                       ,"Franklin, S."                     ,1931 ,"Sex, Sin, and Bathtub Booze: Hollywood Before the Code"                                                                                ,2006-05-11 ,No notes
 3685 ,"Big Bus, The"                                                                      ,Frawley                            ,1976 ,Weekend - Spring 1977                                                                                                                   ,1977-05-14 ,No notes
 3686 ,Muppet Movie                                                                        ,Frawley                            ,1979 ,Weekend - Spring 1980 (Days and Nights in Quantrell)                                                                                    ,1980-05-10 ,No notes
 3687 ,Big Bus                                                                             ,Frawley                            ,1976 ,Summer 1989                                                                                                                             ,1989-07-13 ,No notes
 3688 ,Kid Blue                                                                            ,Frawley                            ,1973 ,Dennis Hopper                                                                                                                           ,1991-01-31 ,No notes
 3689 ,Muppet Movie                                                                        ,Frawley                            ,1979 ,Kids' Films (Crusts Cut Off)                                                                                                            ,1996-05-05 ,No notes
 3690 ,My Beautiful Laundrette                                                             ,Frears                             ,1986 ,Weekend - Winter 1987 (9 1/2 Weekends)                                                                                                  ,1987-01-17 ,No notes
 3691 ,Sammy and Rosie Get Laid                                                            ,Frears                             ,1987 ,Weekend - Spring 1988 (Fatal Weekends)                                                                                                  ,1988-04-23 ,No notes
 3692 ,My Beautiful Laundrette                                                             ,Frears                             ,1985 ,Summer 1988                                                                                                                             ,1988-07-02 ,No notes
 3693 ,Dangerous Liaisons                                                                  ,Frears                             ,1988 ,Summer 1990                                                                                                                             ,1990-07-21 ,No notes
 3694 ,"Grifters, The"                                                                     ,Frears                             ,1990 ,Weekend - Spring 1991 (Dances with Maxes)                                                                                               ,1991-04-26 ,No notes
 3695 ,"Hit, The"                                                                          ,Frears                             ,1984 ,British Crime Drama                                                                                                                     ,1991-11-21 ,No notes
 3696 ,Hero                                                                                ,Frears                             ,1991 ,Weekend - Winter 1993 (Reservoir Doc)                                                                                                   ,1993-01-23 ,No notes
 3697 ,My Beautiful Laundrette                                                             ,Frears                             ,1985 ,Summer 1993                                                                                                                             ,1993-07-10 ,No notes
 3698 ,"Snapper, The"                                                                      ,Frears                             ,1993 ,Weekend - Spring 1994 (Superdoc: Doc Story III)                                                                                         ,1994-06-03 ,No notes
 3699 ,My Beautiful Laundrette                                                             ,Frears                             ,1985 ,Colonialism in Film                                                                                                                     ,1995-01-19 ,No notes
 3700 ,Dangerous Liasons                                                                   ,Frears                             ,1988 ,Summer 1995                                                                                                                             ,1995-07-28 ,No notes
 3701 ,"Grifters, The"                                                                     ,Frears                             ,1990 ,Fallen Women/Confidence Man                                                                                                             ,1998-12-03 ,No notes
 3702 ,High Fidelity                                                                       ,Frears                             ,2000 ,Weekend - Autumn 2000 (The Doc Suicides)                                                                                                ,2000-09-29 ,No notes
 3703 ,High Fidelity                                                                       ,Frears                             ,2000 ,Chicago Stories                                                                                                                         ,2003-06-02 ,No notes
 3704 ,Dirty Pretty Things                                                                 ,Frears                             ,2002 ,Weekend - Winter 2004 (Dirty Pretty Doc)                                                                                                ,2004-01-31 ,No notes
 3705 ,"Queen, The"                                                                        ,Frears                             ,2006 ,Weekend - Spring 2007 (Doc of Our Fathers)                                                                                              ,2007-05-04 ,No notes
 3706 ,Les Miserables                                                                      ,Freda                              ,1948 ,"Yes, but Have You Read the Book?"                                                                                                      ,1979-05-07 ,No notes
 3707 ,Dark Sands                                                                          ,Freeland                           ,1937 ,Fiction Films - Summer 1944                                                                                                             ,1944-07-18 ,aka Jericho
 3708 ,"Raid, The"                                                                         ,Fregonese                          ,1954 ,Horses and Hankerchiefs                                                                                                                 ,1978-11-01 ,No notes
 3709 ,One-Way Street                                                                      ,Fregonese                          ,1950 ,Murder is My Business                                                                                                                   ,1979-05-23 ,No notes
 3710 ,Blowing Wind                                                                        ,Fregonese                          ,1953 ,"Screening Room, The"                                                                                                                   ,1979-10-15 ,No notes
 3711 ,Coo Coo Nut Grove                                                                   ,Freleng                            ,1936 ,24 Laughs Per Second                                                                                                                    ,1978-02-01 ,No notes
 3712 ,Tweetie Pie                                                                         ,Freleng                            ,1947 ,House That Jack Built: Warner Bros. in the 30s and 40s                                                                                  ,1982-01-14 ,No notes
 3713 ,Slick Hare                                                                          ,Freleng                            ,1947 ,House That Jack Built: Warner Bros. in the 30s and 40s                                                                                  ,1982-02-11 ,No notes
 3714 ,Bugs Bunny Rides Again                                                              ,Freleng                            ,1948 ,House That Jack Built: Warner Bros. in the 30s and 40s                                                                                  ,1982-02-15 ,No notes
 3715 ,Racketeer Rabbit                                                                    ,Freleng                            ,1946 ,House That Jack Built: Warner Bros. in the 30s and 40s                                                                                  ,1982-02-26 ,No notes
 3716 ,Goldilocks and the Jivin' Bears                                                     ,Freleng                            ,1944 ,House That Jack Built: Warner Bros. in the 30s and 40s                                                                                  ,1982-03-01 ,No notes
 3717 ,We're in the Money                                                                  ,Freleng                            ,1933 ,House That Jack Built: Warner Bros. in the 30s and 40s                                                                                  ,1982-03-04 ,No notes
 3718 ,Rhapsody Rabbit                                                                     ,Freleng                            ,1946 ,House That Jack Built: Warner Bros. in the 30s and 40s                                                                                  ,1982-03-08 ,No notes
 3719 ,Mad Love                                                                            ,Freund                             ,1935 ,Horror Nite IV                                                                                                                          ,1982-05-28 ,No notes
 3720 ,Mad Love                                                                            ,Freund                             ,1935 ,Songs of Love and Death: Lyrical Horror                                                                                                 ,1999-10-24 ,No notes
 3721 ,"Mummy, The"                                                                        ,Freund                             ,1933 ,Laemmle’s Universal                                                                                                                     ,2001-11-15 ,No notes
 3722 ,"Mummy, The"                                                                        ,Freund                             ,1932 ,Children of the Night                                                                                                                   ,2007-05-10 ,No notes
 3723 ,Janosik                                                                             ,Fric                               ,1935 ,Spring 1945                                                                                                                             ,1945-05-08 ,No notes
 3724 ,Cold Fever                                                                          ,Fridrikkson                        ,1994 ,Fever Dreams                                                                                                                            ,1998-02-19 ,No notes
 3725 ,Birthday Party                                                                      ,Friedkin                           ,1968 ,Weekend Specials                                                                                                                        ,1971-04-11 ,No notes
 3726 ,Boys in the Band                                                                    ,Friedkin                           ,1970 ,Famous Friday Night Series                                                                                                              ,1971-10-29 ,No notes
 3727 ,Exorcist                                                                            ,Friedkin                           ,1973 ,Weekend - Autumn 1979 (Hollywood Highs)                                                                                                 ,1979-11-02 ,No notes
 3728 ,To Live and Die in L.A.                                                             ,Friedkin                           ,1985 ,Weekend - Spring 1986 (Last Tango in Cobb)                                                                                              ,1986-04-25 ,No notes
 3729 ,Cruising                                                                            ,Friedkin                           ,1980 ,Historical Gay & Lesbian Representation                                                                                                 ,1992-05-21 ,No notes
 3730 ,Jade                                                                                ,Friedkin                           ,1995 ,Weekend - Winter 1996 (The Doc Generation)                                                                                              ,1996-02-10 ,No notes
 3731 ,French Connection                                                                   ,Friedkin                           ,1971 ,Car Chases                                                                                                                              ,1999-02-04 ,No notes
 3732 ,"Exorcist, The"                                                                     ,Friedkin                           ,1973 ,Before the Fall: '70s US Auteurs                                                                                                        ,2000-01-27 ,No notes
 3733 ,"Exorcist, The"                                                                     ,Friedkin                           ,1973 ,Weekend - Winter 2001 (Requiem for Doc)                                                                                                 ,2001-01-06 ,The Version You've Never Seen
 3734 ,"Exorcist, The"                                                                     ,Friedkin                           ,1973 ,Revisiting the 'American Nightmare': Horror in the 1970s                                                                                ,2006-10-10 ,No notes
 3735 ,"French Connection, The"                                                            ,Friedkin                           ,1971 ,Antiheroes: Icons of the New Hollywood Era                                                                                              ,2006-10-11 ,No notes
 3736 ,"Raven, The"                                                                        ,Friedlander                        ,1935 ,Laemmle’s Universal                                                                                                                     ,2001-11-15 ,No notes
 3737 ,Gently Down the Stream                                                              ,Friedrich                          ,1983 ,New Queer Cinema                                                                                                                        ,1995-02-13 ,No notes
 3738 ,Sink or Swim                                                                        ,Friedrich                          ,1990 ,New Queer Cinema                                                                                                                        ,1995-02-13 ,No notes
 3739 ,En Saga                                                                             ,Friis                              ,   0 ,Spring 1943                                                                                                                             ,1943-05-18 ,No notes
 3740 ,"Scavengers, The"                                                                   ,Frost                              ,1969 ,Lust without Caution: Down 'n' Dirty Sexploitation Cinema                                                                               ,2008-02-14 ,No notes
 3741 ,Abominable Dr. Phibes                                                               ,Fuest                              ,1981 ,Weekend - Spring 1981                                                                                                                   ,1981-05-08 ,No notes
 3742 ,Dr. Phibes Rides Again                                                              ,Fuest                              ,1972 ,Weekend - Spring 1981                                                                                                                   ,1981-05-15 ,No notes
 3743 ,Happy Face of Switzerland                                                           ,Fueter                             ,   0 ,1963 Midwest Film Festival                                                                                                              ,1963-04-25 ,Competition Screening
 3744 ,"Rhythm of a City, Zurich"                                                          ,Fueter                             ,   0 ,1963 Midwest Film Festival                                                                                                              ,1963-04-26 ,Competition Screening
 3745 ,All of the Winner                                                                   ,Fui                                ,1990 ,Hong Kong                                                                                                                               ,1991-04-28 ,No notes
 3746 ,Zombie                                                                              ,Fulci                              ,1978 ,Zombies!                                                                                                                                ,2005-01-27 ,No notes
 3747 ,"Beyond, The"                                                                       ,Fulci                              ,1981 ,Zombies!                                                                                                                                ,2005-02-10 ,No notes
 3748 ,China Gate                                                                          ,Fuller                             ,1957 ,War!                                                                                                                                    ,1966-11-16 ,No notes
 3749 ,Forty Guns                                                                          ,Fuller                             ,1957 ,Wide Screen                                                                                                                             ,1968-05-08 ,No notes
 3750 ,Shock Corridor                                                                      ,Fuller                             ,1963 ,Films by Samuel Fuller                                                                                                                  ,1970-10-06 ,No notes
 3751 ,Park Row                                                                            ,Fuller                             ,1952 ,Films by Samuel Fuller                                                                                                                  ,1970-10-13 ,No notes
 3752 ,China Gate                                                                          ,Fuller                             ,1957 ,Films by Samuel Fuller                                                                                                                  ,1970-10-20 ,No notes
 3753 ,Forty Guns                                                                          ,Fuller                             ,1957 ,Films by Samuel Fuller                                                                                                                  ,1970-11-03 ,No notes
 3754 ,Naked Kiss                                                                          ,Fuller                             ,1964 ,Films by Samuel Fuller                                                                                                                  ,1970-11-10 ,No notes
 3755 ,Naked Kiss                                                                          ,Fuller                             ,1964 ,Dead Pigeons & Knuckle Sandwiches                                                                                                       ,1973-10-09 ,No notes
 3756 ,Shock Corridor                                                                      ,Fuller                             ,1963 ,Dead Pigeons & Knuckle Sandwiches                                                                                                       ,1973-10-16 ,No notes
 3757 ,Run of the Arrow                                                                    ,Fuller                             ,1957 ,Dead Pigeons & Knuckle Sandwiches                                                                                                       ,1973-10-23 ,No notes
 3758 ,Forty Guns                                                                          ,Fuller                             ,1957 ,Dead Pigeons & Knuckle Sandwiches                                                                                                       ,1973-10-30 ,No notes
 3759 ,Verboten!                                                                           ,Fuller                             ,1959 ,Dead Pigeons & Knuckle Sandwiches                                                                                                       ,1973-10-30 ,No notes
 3760 ,Dead Pigeon on Beethoven Street                                                     ,Fuller                             ,1972 ,Auteuromania                                                                                                                            ,1976-05-12 ,Chicago Premiere
 3761 ,Naked Kiss                                                                          ,Fuller                             ,1964 ,"Knuckles, Death, Pigeon Sandwiches"                                                                                                    ,1978-02-07 ,No notes
 3762 ,"Steel Helmet, The"                                                                 ,Fuller                             ,1950 ,"Knuckles, Death, Pigeon Sandwiches"                                                                                                    ,1978-02-14 ,No notes
 3763 ,China Gate                                                                          ,Fuller                             ,1957 ,"Knuckles, Death, Pigeon Sandwiches"                                                                                                    ,1978-02-21 ,No notes
 3764 ,Run of the Arrow                                                                    ,Fuller                             ,1957 ,"Knuckles, Death, Pigeon Sandwiches"                                                                                                    ,1978-02-21 ,No notes
 3765 ,Shock Corridor                                                                      ,Fuller                             ,1963 ,"Knuckles, Death, Pigeon Sandwiches"                                                                                                    ,1978-02-28 ,No notes
 3766 ,Verboten!                                                                           ,Fuller                             ,1959 ,"Knuckles, Death, Pigeon Sandwiches"                                                                                                    ,1978-02-28 ,No notes
 3767 ,Underworld U.S.A.                                                                   ,Fuller                             ,1960 ,Murder is My Business                                                                                                                   ,1979-04-18 ,No notes
 3768 ,Fixed Bayonets                                                                      ,Fuller                             ,1951 ,Kiss Bang Bang Bang…                                                                                                                    ,1980-05-14 ,No notes
 3769 ,"Steel Helmet, The"                                                                 ,Fuller                             ,1950 ,Films of Samuel Fuller                                                                                                                  ,1982-04-05 ,No notes
 3770 ,China Gate                                                                          ,Fuller                             ,1957 ,Films of Samuel Fuller                                                                                                                  ,1982-04-12 ,No notes
 3771 ,Run of the Arrow                                                                    ,Fuller                             ,1957 ,Films of Samuel Fuller                                                                                                                  ,1982-04-19 ,No notes
 3772 ,Forty Guns                                                                          ,Fuller                             ,1957 ,Films of Samuel Fuller                                                                                                                  ,1982-04-26 ,No notes
 3773 ,"Crimson Kimono, The"                                                               ,Fuller                             ,1958 ,Films of Samuel Fuller                                                                                                                  ,1982-05-03 ,No notes
 3774 ,Verboten!                                                                           ,Fuller                             ,1960 ,Films of Samuel Fuller                                                                                                                  ,1982-05-10 ,No notes
 3775 ,Shock Corridor                                                                      ,Fuller                             ,1963 ,Films of Samuel Fuller                                                                                                                  ,1982-05-17 ,No notes
 3776 ,Naked Kiss                                                                          ,Fuller                             ,1964 ,Films of Samuel Fuller                                                                                                                  ,1982-05-24 ,No notes
 3777 ,Underworld U.S.A.                                                                   ,Fuller                             ,1960 ,"Best of Doc Films: Auteurism in Practice -- American, Part II"                                                                         ,1983-01-03 ,No notes
 3778 ,Forty Guns                                                                          ,Fuller                             ,1957 ,American Auteurs                                                                                                                        ,1985-04-18 ,No notes
 3779 ,Baron of Arizona                                                                    ,Fuller                             ,1950 ,Samuel Fuller                                                                                                                           ,1987-01-08 ,No notes
 3780 ,"Steel Helmet, The"                                                                 ,Fuller                             ,1950 ,Samuel Fuller                                                                                                                           ,1987-01-15 ,No notes
 3781 ,Pickup on South Street                                                              ,Fuller                             ,1953 ,Samuel Fuller                                                                                                                           ,1987-01-22 ,No notes
 3782 ,Verboten!                                                                           ,Fuller                             ,1959 ,Samuel Fuller                                                                                                                           ,1987-01-29 ,No notes
 3783 ,China Gate                                                                          ,Fuller                             ,1957 ,Samuel Fuller                                                                                                                           ,1987-02-05 ,No notes
 3784 ,Run of the Arrow                                                                    ,Fuller                             ,1957 ,Samuel Fuller                                                                                                                           ,1987-02-12 ,No notes
 3785 ,"Crimson Kimono, The"                                                               ,Fuller                             ,1959 ,Samuel Fuller                                                                                                                           ,1987-02-19 ,No notes
 3786 ,Shock Corridor                                                                      ,Fuller                             ,1963 ,Samuel Fuller                                                                                                                           ,1987-02-26 ,No notes
 3787 ,Naked Kiss                                                                          ,Fuller                             ,1964 ,Samuel Fuller                                                                                                                           ,1987-03-05 ,No notes
 3788 ,Underworld U.S.A.                                                                   ,Fuller                             ,1961 ,Samuel Fuller                                                                                                                           ,1987-03-12 ,No notes
 3789 ,"Big Red One, The"                                                                  ,Fuller                             ,1980 ,World War II                                                                                                                            ,1989-02-28 ,No notes
 3790 ,China Gate                                                                          ,Fuller                             ,1957 ,Black & White Cinemascope                                                                                                               ,1989-04-04 ,No notes
 3791 ,Shock Corridor                                                                      ,Fuller                             ,1963 ,Psychoanalysis and Cinema                                                                                                               ,1991-10-22 ,No notes
 3792 ,House of Bamboo                                                                     ,Fuller                             ,1955 ,Summer 1992                                                                                                                             ,1992-07-01 ,No notes
 3793 ,China Gate                                                                          ,Fuller                             ,1957 ,Summer 1993                                                                                                                             ,1993-07-07 ,No notes
 3794 ,Pickup on South Street                                                              ,Fuller                             ,1953 ,Red Dawn                                                                                                                                ,1997-01-16 ,No notes
 3795 ,House of Bamboo                                                                     ,Fuller                             ,   0 ,Sam Fuller: Cinema-Fist                                                                                                                 ,1999-01-06 ,No notes
 3796 ,Forty Guns                                                                          ,Fuller                             ,1957 ,Sam Fuller: Cinema-Fist                                                                                                                 ,1999-01-13 ,No notes
 3797 ,China Gate                                                                          ,Fuller                             ,1957 ,Sam Fuller: Cinema-Fist                                                                                                                 ,1999-01-20 ,In Person: Jonathan Rosenbaum
 3798 ,"Crimson Kimono, The"                                                               ,Fuller                             ,1958 ,Sam Fuller: Cinema-Fist                                                                                                                 ,1999-01-27 ,No notes
 3799 ,Underworld U.S.A.                                                                   ,Fuller                             ,1960 ,Sam Fuller: Cinema-Fist                                                                                                                 ,1999-02-03 ,No notes
 3800 ,Park Row                                                                            ,Fuller                             ,1952 ,Camera Movement II: The Masters                                                                                                         ,1999-02-09 ,No notes
 3801 ,Shock Corridor                                                                      ,Fuller                             ,1963 ,Sam Fuller: Cinema-Fist                                                                                                                 ,1999-02-10 ,No notes
 3802 ,Naked Kiss                                                                          ,Fuller                             ,1964 ,Sam Fuller: Cinema-Fist                                                                                                                 ,1999-02-17 ,No notes
 3803 ,Dead Pigeon on Beethoven Street                                                     ,Fuller                             ,1972 ,Sam Fuller: Cinema-Fist                                                                                                                 ,1999-02-24 ,No notes
 3804 ,"Big Red One, The"                                                                  ,Fuller                             ,1980 ,Sam Fuller: Cinema-Fist                                                                                                                 ,1999-03-03 ,No notes
 3805 ,White Dog                                                                           ,Fuller                             ,1982 ,Sam Fuller: Cinema-Fist                                                                                                                 ,1999-03-10 ,No notes
 3806 ,Verboten!                                                                           ,Fuller                             ,1959 ,Summer 2002                                                                                                                             ,2002-06-27 ,No notes
 3807 ,Park Row                                                                            ,Fuller                             ,1952 ,In the News                                                                                                                             ,2002-11-07 ,No notes
 3808 ,Forty Guns                                                                          ,Fuller                             ,1957 ,Black and White Westerns                                                                                                                ,2003-05-15 ,No notes
 3809 ,"Big Red One, The: The Reconstruction"                                              ,Fuller                             ,1980 ,From the Trenches                                                                                                                       ,2005-10-16 ,No notes
 3810 ,Pickup on South Street                                                              ,Fuller                             ,1953 ,"Samuel Fuller, American Maverick"                                                                                                      ,2008-01-07 ,No notes
 3811 ,"Steel Helmet, The"                                                                 ,Fuller                             ,1950 ,"Samuel Fuller, American Maverick"                                                                                                      ,2008-01-14 ,No notes
 3812 ,Park Row                                                                            ,Fuller                             ,1952 ,"Samuel Fuller, American Maverick"                                                                                                      ,2008-01-21 ,No notes
 3813 ,Forty Guns                                                                          ,Fuller                             ,1957 ,"Samuel Fuller, American Maverick"                                                                                                      ,2008-01-28 ,No notes
 3814 ,Verboten!                                                                           ,Fuller                             ,1959 ,"Samuel Fuller, American Maverick"                                                                                                      ,2008-02-04 ,No notes
 3815 ,Underworld U.S.A.                                                                   ,Fuller                             ,1960 ,"Samuel Fuller, American Maverick"                                                                                                      ,2008-02-11 ,No notes
 3816 ,Shock Corridor                                                                      ,Fuller                             ,1963 ,"Samuel Fuller, American Maverick"                                                                                                      ,2008-02-18 ,No notes
 3817 ,"Naked Kiss, The"                                                                   ,Fuller                             ,1964 ,"Samuel Fuller, American Maverick"                                                                                                      ,2008-03-03 ,No notes
 3818 ,White Dog                                                                           ,Fuller                             ,1982 ,"Samuel Fuller, American Maverick"                                                                                                      ,2008-03-10 ,No notes
 3819 ,"Crimson Kimono, The"                                                               ,Fuller                             ,1959 ,Film Noir of the 1950s                                                                                                                  ,2008-03-13 ,No notes
 3820 ,Lost in La Mancha                                                                   ,"Fulton, Pepe"                     ,2002 ,Crazy in the Desert                                                                                                                     ,2004-03-08 ,No notes
 3821 ,Replacement Killers                                                                 ,Fuqua                              ,1997 ,Weekend - Spring 1998 (DOC: Cheap & Out of Control)                                                                                     ,1998-05-09 ,No notes
 3822 ,Training Day                                                                        ,Fuqua                              ,2001 ,Weekend - Winter 2002 (Shallow Doc)                                                                                                     ,2002-01-26 ,No notes
 3823 ,Lady Sings the Blues                                                                ,Furie                              ,1972 ,Student Activities Film Summer 1985                                                                                                     ,1985-07-31 ,No notes
 3824 ,Little Fauss and Big Halsy                                                          ,Furie                              ,1970 ,Road Movies                                                                                                                             ,1991-04-18 ,No notes
 3825 ,Ipcress File                                                                        ,Furie                              ,1965 ,Espionage                                                                                                                               ,2001-02-13 ,No notes
 3826 ,Man Who Copied                                                                      ,Furtado                            ,2003 ,Cine Brazil 2000s                                                                                                                       ,2006-01-04 ,No notes
 3827 ,Angi Vera                                                                           ,Gabor                              ,1979 ,Open Foreign - Autumn 1980                                                                                                              ,1980-10-05 ,No notes
 3828 ,Angi Vera                                                                           ,Gabor                              ,1979 ,Open Foreign - Spring 1987 (Beyond the Border)                                                                                          ,1987-05-24 ,No notes
 3829 ,Treacherous Woman                                                                   ,Gad                                ,1911 ,"Red for Danger, Fire and Love: Early German Silent Films"                                                                              ,2002-01-14 ,No notes
 3830 ,Hamlet                                                                              ,Gade                               ,1920 ,Third Revival Series                                                                                                                    ,1937-05-05 ,As UFS
 3831 ,Hamlet                                                                              ,"Gade, Schall"                     ,1921 ,Revising Shakespeare                                                                                                                    ,2002-01-03 ,No notes
 3832 ,Syriana                                                                             ,Gaghan                             ,2005 ,"Weekend - Spring 2006 (Good Night, and Good Doc)"                                                                                      ,2006-05-05 ,No notes
 3833 ,Alraune (Mandrake)                                                                  ,Galeen                             ,1928 ,German Expressionist Cinema from the Munich Filmmuseum                                                                                  ,2000-04-21 ,In person: Stefan Drossler; World Premiere of Restored Print
